variable,exact_data_label,coding_family
q42_age,Q42 年龄（周岁，平台采集）,continuous_scale
q06_socsec,Q6 社会保障：医疗养老失业等保障能否提供足够保护（0-10）,continuous_scale
q07_emergfund,Q7 应急筹资：短期内能否筹集相当于三个月收入的资金（0-10）,continuous_scale
q09_gain,Q9 获得感：是否从社会发展中获得了实实在在的好处（0-10）,continuous_scale
q10_effort,Q10 努力有用感：通过自身努力能否让生活变得更好（0-10）,continuous_scale
q11_mobility,Q11 向上流动：普通人向上发展的通道是否畅通（0-10）,continuous_scale
q13_pressure,Q13 压力承受：目前感受到的生活压力是否在可承受范围内（0-10）,continuous_scale
q15_fut_self,Q15 预期-个人：未来一年自己的生活状况会如何变化（0-10）,continuous_scale
q17a_fut_econ,Q17-1 趋势预期：经济发展（0-10）,continuous_scale
q17b_fut_job,Q17-2 趋势预期：就业与收入（0-10）,continuous_scale
q17c_fut_price,Q17-3 趋势预期：物价与消费水平（0-10）,continuous_scale
q17e_fut_welfare,Q17-5 趋势预期：民生保障（0-10）,continuous_scale
q18_ses_now,Q18 主观社会经济地位：目前大致处在1-10中的哪个位置（1-10）,continuous_scale
q19_ses_past5,Q19 地位变动-回顾：过去5年社会经济位置变化（0-10）,continuous_scale
q20_ses_next1,Q20 地位变动-展望：未来1年社会经济位置变化（0-10）,continuous_scale
q01_lifesat,Q1 生活满意度：总体而言，您对目前的生活满意吗（0-10）,continuous_scale
q02_safety,Q2 安全感：总体而言，您觉得当前的生活环境是否安全（0-10）,continuous_scale
q03a_fair_dist,Q3-1 公平感：社会资源和财富的分配（0-10）,continuous_scale
q03b_fair_opp,Q3-2 公平感：个人发展的机会（0-10）,continuous_scale
q03c_fair_rule,Q3-3 公平感：规则和程序的执行（0-10）,continuous_scale
q04_trust_gov,Q4 制度信任：对本地政府部门和公共机构的信任程度（0-10）,continuous_scale
q05_trust_soc,Q5 人际信任：社会上大多数人是否值得信任（0-10）,continuous_scale
q08_support,Q8 社会支持：遇到困难时能否从身边的人得到实际帮助（0-10）,continuous_scale
q12_voice,Q12 意见回应：普通人的意见和诉求能否被听到和回应（0-10）,continuous_scale
q16_fut_society,Q16 预期-社会：未来一年中国社会整体发展前景（0-10）,continuous_scale
q17d_fut_fair,Q17-4 趋势预期：社会公平（0-10）,continuous_scale
q21_order,Q21 秩序评价：当前中国社会是一个有秩序的社会吗（0-10）,continuous_scale
q22_vitality,Q22 活力评价：当前中国社会是一个有活力的社会吗（0-10）,continuous_scale
q43_edu,Q43 学历（平台采集）,ordered
income_h,derived household income band,ordered
q28_hhsize,Q28 共同生活、共同开支的家庭成员人数（含本人）,ordered
q29_foodexp,Q29 家庭每月食品支出（含买菜、外出就餐、零食饮料等）,ordered
q30_medexp,Q30 过去一年家庭自费医疗支出（不含医保报销部分）,ordered
q49_citytier,Q49 城市级别（平台采集）,ordered
q41_gender,Q41 性别（平台采集）,nominal
q23_hukou,Q23 户籍类型,nominal
q24_workstat,Q24 目前的工作状况,nominal
q25_unittype,Q25 目前（或最近一份）工作单位类型,nominal
q26_housing,Q26 住房状况,nominal
q27_minorchild,Q27 家庭中是否有需要抚养的未成年子女,nominal
q31_gotsubsidy,Q31 过去三年是否实际收到过政府或平台发放的补助,nominal
